Date,Open,High,Low,Close,Volume,date,Daily_Return,MA_5,MA_10,RSI,Volatility,Volume_Change
2018-01-29,4560.0,4565.0,4510.0,4560.0,114814500,2018-01-29,0.004405286343612369,4532.0,4511.0,56.043956043956044,0.008750103110482478,0.9754391700073983
2018-01-30,4540.0,4690.0,4530.0,4560.0,114055000,2018-01-30,0.0,4538.0,4515.0,57.95454545454546,0.008750103110482478,-0.006615018137952955
2018-01-31,4560.0,4580.0,4540.0,4545.0,106803000,2018-01-31,-0.003289473684210509,4544.0,4526.5,50.617283950617285,0.008821332310908108,-0.06358335890579103
2018-02-01,4570.0,4685.0,4570.0,4675.0,138208000,2018-02-01,0.028602860286028653,4576.0,4542.5,69.79166666666667,0.010298099212146547,0.2940460473956723
2018-02-02,4725.0,4940.0,4720.0,4795.0,98474000,2018-02-02,0.025668449197860932,4627.0,4573.0,75.42372881355932,0.011507464308100148,-0.2874942116230609
2018-02-05,4750.0,4805.0,4700.0,4760.0,49501500,2018-02-05,-0.007299270072992692,4667.0,4599.5,70.0,0.011769362236100022,-0.49731401182037893
2018-02-06,4690.0,4735.0,4660.0,4705.0,117589500,2018-02-06,-0.011554621848739455,4696.0,4617.0,74.33628318584071,0.012160827087656364,1.3754734705008937
2018-02-07,4730.0,4795.0,4695.0,4700.0,121947000,2018-02-07,-0.0010626992561104665,4727.0,4635.5,69.0721649484536,0.012116626903762953,0.037056880078578436
2018-02-08,4710.0,4760.0,4700.0,4740.0,68461000,2018-02-08,0.008510638297872353,4740.0,4658.0,75.0,0.01203043662305813,-0.4386003755729948
2018-02-09,4680.0,4745.0,4670.0,4715.0,71076500,2018-02-09,-0.0052742616033755185,4724.0,4675.5,71.15384615384616,0.011693809297417678,0.0382042330670016
2018-02-12,4760.0,4760.0,4700.0,4700.0,38409500,2018-02-12,-0.0031813361611876534,4712.0,4689.5,67.0,0.011764434276953145,-0.45960338508508436
2018-02-13,4760.0,4785.0,4750.0,4760.0,59406000,2018-02-13,0.012765957446808418,4723.0,4709.5,72.4770642201835,0.011977991462537196,0.5466486155768755
2018-02-14,4745.0,4775.0,4710.0,4740.0,75553000,2018-02-14,-0.004201680672268893,4731.0,4729.0,69.91150442477877,0.010885316363775883,0.2718075615257718
2018-02-15,4780.0,4785.0,4690.0,4690.0,52958500,2018-02-15,-0.010548523206751037,4721.0,4730.5,62.71186440677966,0.010649923693012112,-0.29905496803568354
2018-02-16,4690.0,4690.0,4690.0,4690.0,0,2018-02-16,0.0,4716.0,4720.0,61.40350877192982,0.010515996519504642,-1.0
2018-02-20,4820.0,4840.0,4775.0,4805.0,34830000,2018-02-20,-0.009278350515463885,4755.0,4739.0,67.10526315789474,0.012988487370186649,-0.30597483336820397
2018-02-21,4790.0,4835.0,4745.0,4805.0,62499000,2018-02-21,0.0,4768.0,4749.5,60.317460317460316,0.012924344820905381,0.7944013781223083
2018-02-22,4820.0,4835.0,4750.0,4780.0,47217000,2018-02-22,-0.005202913631633721,4786.0,4753.5,48.598130841121495,0.013043866111002412,-0.24451591225459612
2018-02-23,4805.0,4895.0,4790.0,4850.0,82233000,2018-02-23,0.014644351464435212,4818.0,4767.0,57.89473684210526,0.013295994868211484,0.7415973060550225
2018-02-26,4830.0,4845.0,4700.0,4705.0,85227500,2018-02-26,-0.02989690721649485,4789.0,4767.5,50.0,0.015230005938488243,0.03641482130045115
2018-02-27,4745.0,4755.0,4660.0,4710.0,87429500,2018-02-27,0.0010626992561104665,4770.0,4762.5,50.75757575757576,0.015225704569274174,0.025836731102050425
2018-02-28,4680.0,4690.0,4615.0,4635.0,132869000,2018-02-28,-0.015923566878980888,4736.0,4752.0,42.44604316546763,0.01569959203013573,0.5197273231575155
2018-03-01,4620.0,4645.0,4620.0,4635.0,125474500,2018-03-01,0.0,4707.0,4746.5,44.02985074626866,0.01430275745164679,-0.05565256004034047
2018-03-02,4615.0,4625.0,4550.0,4575.0,151511000,2018-03-02,-0.012944983818770184,4652.0,4735.0,41.25874125874127,0.01316945717054712,0.20750431362547772
